x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
0 100 10 0.55 0.55 1.56 1.56 1.56 1.56 1.56 1.56 7.36 7.36 7.36 27.61 27.61 2.83 2.83 2.83 0.00 2.83 2.83 2.83 0.86 0.86 0.69 0.69 2028.88
1 100 10 0.60 0.05 1.95 0.39 1.95 1.76 1.95 1.95 7.25 -0.10 7.25 27.07 -0.54 7.94 5.39 5.10 0.00 7.94 7.94 2.83 0.96 0.10 0.68 -0.01 2534.29
2 100 10 0.65 0.05 1.72 -0.23 1.84 1.75 1.95 1.95 7.28 0.03 7.27 25.80 -1.27 -4.54 2.08 -12.48 -4.54 7.94 7.94 -4.54 1.04 0.09 0.64 -0.03 2239.38
3 100 10 0.70 0.05 2.20 0.48 1.96 1.86 2.20 2.20 7.30 0.02 7.28 24.37 -1.43 9.41 3.91 13.95 -4.54 9.41 9.41 -4.54 1.15 0.11 0.61 -0.04 2862.93
4 100 10 0.75 0.05 2.40 0.20 2.07 1.97 2.40 2.40 7.30 -0.00 7.29 17.26 -7.11 4.06 3.94 -5.35 -4.54 9.41 9.41 -4.54 1.27 0.12 0.43 -0.18 3121.35
5 100 10 0.80 0.05 3.04 0.64 2.26 2.15 3.04 3.04 7.29 -0.01 7.29 6.44 -10.82 12.70 5.40 8.64 -4.54 12.70 12.70 -4.54 1.42 0.15 0.16 -0.27 3946.54
6 100 10 0.85 0.05 2.91 -0.13 2.37 2.26 3.04 3.04 7.32 0.03 7.29 -1.73 -8.17 -2.49 4.27 -15.19 -4.54 12.70 12.70 -4.54 1.57 0.15 -0.04 -0.20 3781.43
7 100 10 0.90 0.05 3.26 0.35 2.50 2.38 3.26 3.26 7.34 0.02 7.30 -3.42 -1.69 6.85 4.60 9.35 -4.54 12.70 12.70 -4.54 1.74 0.17 -0.09 -0.04 4235.61
8 100 10 0.95 0.05 3.44 0.18 2.62 2.50 3.44 3.44 7.34 -0.00 7.30 -0.37 3.05 3.76 4.50 -3.09 -4.54 12.70 12.70 -4.54 1.91 0.17 -0.01 0.08 4475.06
9 100 10 1.00 0.05 3.62 0.17 2.73 2.61 3.62 3.62 7.39 0.05 7.31 1.79 2.16 3.56 4.41 -0.20 -4.54 12.70 12.70 -4.54 2.09 0.18 0.04 0.05 4702.01
